init;0.14

frame;preprocessing;pyramid gen.;detection
0;0.106496;23.9094;15.1644
1;0.10288;23.9657;16.3676
2;0.10304;23.8981;16.5386
3;0.101216;23.9206;16.6953
4;0.101376;23.9647;16.6164
5;0.270336;23.936;16.3082
6;0.1024;23.8991;16.3236
7;0.102944;23.9032;16.8407
8;0.1024;23.9749;16.382
9;0.103424;23.9657;16.513
10;0.103136;23.9084;16.5048
11;0.10304;23.9872;16.2171
12;0.103232;23.9585;16.8212
13;0.103424;23.895;16.9124
14;0.103104;23.9053;16.9974
15;0.101824;23.9565;16.4803
16;0.10128;23.9575;16.937
17;0.1024;23.9288;16.6441
18;0.103424;23.9288;16.513
19;0.1024;23.938;16.811
20;0.101344;23.8807;16.7424
21;0.1024;23.9155;16.8356
22;0.103424;23.9749;16.0799
23;0.102272;23.9514;14.7405
24;0.102336;23.9176;15.2381
25;0.101376;23.9811;14.9268
26;0.109216;23.9012;15.445
27;0.101376;23.9176;14.9565
28;0.101376;23.9442;14.5859
29;0.101376;23.8961;15.5986
30;0.103424;23.9217;15.2125
31;0.103904;23.9442;14.5848
32;0.1024;23.9176;15.1429
33;0.1024;24.0036;15.6611
34;0.103424;23.9565;14.9975
35;0.102112;23.9196;14.9862
36;0.103008;23.978;14.846
37;0.102368;23.9114;14.9432
38;0.103904;23.9094;14.8214
39;0.102176;23.9473;15.3487
40;0.10336;23.8961;14.9391
41;0.270336;23.9616;15.1644
42;0.102048;23.8879;15.0559
43;0.102944;23.893;15.4194
44;0.103168;23.9514;16.1126
45;0.1024;23.9288;14.8675
46;0.102048;23.9237;15.8792
47;0.10208;23.9565;16.0881
48;0.101376;23.8981;15.9816
49;0.102272;23.938;15.1132
50;0.268288;23.9524;15.9857
