init;0.031

frame;preprocessing;pyramid gen.;detection
0;0.120512;12.5416;107.902
1;0.118336;12.5309;108.908
2;0.118592;12.516;110.502
3;0.117728;12.5349;107.271
4;0.118656;12.5281;109.067
5;0.118528;12.5275;111.809
6;0.117952;12.5465;110.174
7;0.118368;12.5319;111.949
8;0.117856;12.5431;113.368
9;0.11792;12.5286;110.825
10;0.117024;12.5222;114.665
11;0.118272;12.5375;111.944
12;0.118144;12.5367;111.61
13;0.117696;12.5398;112.321
14;0.118688;12.5293;113.591
15;0.118752;12.5244;108.321
16;0.117792;12.5489;115.208
17;0.118592;12.5415;114.38
18;0.117792;12.5289;115.637
19;0.118016;12.5329;113.33
20;0.117824;12.5352;109.418
21;0.119136;12.527;112.27
22;0.1184;12.54;110.149
23;0.117824;12.53;107.627
24;0.118432;12.538;108.931
25;0.117792;12.5333;106.796
26;0.117984;12.5354;105.878
27;0.117664;12.5452;106.798
28;0.11824;12.5338;110.761
29;0.117888;12.5345;105.921
30;0.118752;12.5335;108.719
31;0.11872;12.5365;107.191
32;0.11808;12.5325;104.918
33;0.118432;12.542;108.44
34;0.117952;12.525;107.622
35;0.117888;12.5384;106.554
36;0.11808;12.5294;101.312
37;0.118784;12.5412;104.734
38;0.118848;12.537;105.153
39;0.118112;12.5262;104.896
40;0.11856;12.5275;106.4
41;0.118016;12.5466;105.244
42;0.118528;12.5408;105.346
43;0.118272;12.5412;108.081
44;0.117696;12.5229;107.872
45;0.118304;12.5345;108.223
46;0.11808;12.5332;112.756
47;0.118656;12.5398;110.939
48;0.118848;12.5296;105.954
49;0.118496;12.5381;105.992
50;0.118592;12.523;106.247
