init;0.093

frame;preprocessing;pyramid gen.;detection
0;0.1064;16.6096;21.2335
1;0.10368;16.5986;23.5835
2;0.103904;16.6419;23.3734
3;0.10368;16.608;24.1089
4;0.103776;16.6341;24.0779
5;0.10368;16.6079;23.7096
6;0.103808;16.5876;23.7215
7;0.103584;16.6006;24.1203
8;0.103904;16.585;24.1218
9;0.103808;16.6416;23.5543
10;0.103616;16.6007;24.0219
11;0.103712;16.6582;23.6884
12;0.103424;16.5316;24.3004
13;0.103904;16.629;24.448
14;0.10368;16.604;24.2216
15;0.103808;16.6092;25.0862
16;0.103616;16.5454;24.1539
17;0.103552;16.6481;24.2313
18;0.10384;16.6069;23.9637
19;0.103616;16.6456;24.2587
20;0.104032;16.6067;24.2264
21;0.104064;16.6219;24.3663
22;0.10336;16.6219;22.0843
23;0.10368;16.6184;21.3622
24;0.103488;16.6114;21.4836
25;0.103488;16.5332;21.8391
26;0.103488;16.6044;21.3727
27;0.103616;16.6318;21.4184
28;0.103616;16.6303;21.506
29;0.103584;16.5137;21.4359
30;0.103232;16.5721;21.4086
31;0.103424;16.5699;21.4887
32;0.10384;16.5738;21.4856
33;0.103776;16.6291;21.6975
34;0.1032;16.6244;21.519
35;0.103712;16.5728;21.682
36;0.10368;16.6262;21.4289
37;0.103808;16.6206;21.7743
38;0.10384;16.6165;21.5965
39;0.10336;16.5587;21.7347
40;0.103456;16.5632;21.6924
41;0.103936;16.5795;21.9423
42;0.10336;16.618;21.8793
43;0.104;16.5741;22.093
44;0.103264;16.6159;23.0811
45;0.103456;16.603;21.7751
46;0.103424;16.5594;21.9371
47;0.103616;16.6124;22.0405
48;0.103392;16.6385;21.9608
49;0.103424;16.6172;22.0693
50;0.103872;16.6238;22.07
