init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.080544;7.08272;26.872
1;0.078176;7.072;29.8307
2;0.078368;7.1096;30.5804
3;0.078592;7.08246;30.6345
4;0.078112;7.09488;30.8228
5;0.0784;7.10883;31.1494
6;0.078016;7.10723;30.9778
7;0.078272;7.10826;30.7163
8;0.078272;7.0873;30.923
9;0.07792;7.10438;31.0091
10;0.078336;7.0889;30.706
11;0.078272;7.08957;30.944
12;0.078208;7.07558;31.1875
13;0.078464;7.10118;31.0274
14;0.0784;7.10035;30.9994
15;0.077952;7.08653;31.2208
16;0.078176;7.13373;31.1797
17;0.077952;7.09398;31.2178
18;0.078208;7.12003;31.1757
19;0.078368;7.07872;31.3198
20;0.078144;7.0801;31.4282
21;0.077952;7.07952;31.3387
22;0.078368;7.11654;28.5334
23;0.078048;7.11798;28.2082
24;0.078176;7.06877;28.5434
25;0.078272;7.09821;28.4305
26;0.078112;7.08125;28.0068
27;0.078688;7.10298;29.1043
28;0.07792;7.08038;28.2688
29;0.077984;7.13674;29.0877
30;0.078048;7.11603;28.2727
31;0.078272;7.10515;28.446
32;0.077856;7.08122;28.2211
33;0.077984;7.12653;28.3628
34;0.078016;7.10819;29.3589
35;0.078272;7.0752;29.0761
36;0.078048;7.13382;29.1432
37;0.078272;7.09056;29.3366
38;0.07808;7.11414;29.1936
39;0.07808;7.12384;28.2736
40;0.078944;7.08874;29.3939
41;0.077952;7.06499;29.7036
42;0.078144;7.13027;29.5337
43;0.078144;7.09635;28.7548
44;0.078112;7.09005;29.8688
45;0.078496;7.12784;29.242
46;0.078976;7.07235;29.8682
47;0.078144;7.08294;29.9207
48;0.077856;7.1176;29.881
49;0.078432;7.08163;29.7923
50;0.07792;7.08163;29.7444
