init;0.069

frame;preprocessing;pyramid gen.;detection
0;0.49904;19.3657;83.3779
1;0.531392;19.1979;82.3666
2;0.50848;19.2073;82.979
3;1.65261;19.4248;81.2662
4;0.51904;19.2406;82.1281
5;0.525024;19.2306;83.0734
6;0.497248;19.3749;83.1431
7;0.518912;19.1972;83.399
8;0.51632;19.3315;83.0469
9;0.520064;19.2328;82.8865
10;0.522368;19.1943;85.4735
11;0.505088;19.2028;83.2981
12;0.507264;19.1639;85.5486
13;0.500352;19.1897;85.3356
14;0.525472;19.3364;84.8802
15;0.505728;19.1989;84.4188
16;0.362912;19.4082;84.8183
17;0.365984;19.2106;85.0943
18;0.356288;19.3285;84.7349
19;0.366368;19.173;84.3137
20;0.363168;19.3019;86.0437
21;0.373824;19.214;85.4059
22;0.37616;19.4418;83.7406
23;0.362944;19.2135;83.8822
24;0.363168;19.2731;83.5713
25;0.364832;19.1866;83.8054
26;0.371456;19.2719;83.766
27;0.362848;19.157;82.4746
28;0.362112;19.2018;81.56
29;0.36336;19.4753;81.937
30;0.363104;19.1821;81.5833
31;0.356832;19.2187;81.3265
32;0.356576;19.3788;82.6042
33;0.355136;19.1701;82.628
34;0.36272;19.1608;82.359
35;0.377664;19.3782;81.9717
36;0.361856;19.1714;82.7153
37;0.361888;19.1913;82.7276
38;0.35728;19.1724;83.1355
39;0.363392;19.2108;82.764
40;0.37552;19.3986;83.5216
41;0.36272;19.1989;84.0079
42;0.364384;19.3924;85.3357
43;0.364256;19.2308;85.4445
44;0.556416;19.4163;85.3575
45;0.361056;19.2393;84.2778
46;0.360288;19.3182;86.3519
47;0.361696;19.3057;84.3269
48;0.367648;19.1514;84.1704
49;0.359808;19.224;83.9127
50;0.369376;19.3594;84.2363
