init;0.089

frame;preprocessing;pyramid gen.;detection
0;0.766784;25.6887;257.297
1;0.803328;25.8497;258.381
2;0.800832;25.9294;257.875
3;0.78464;25.7525;255.74
4;0.630688;25.8589;259.975
5;0.626976;25.9349;258.75
6;0.634464;25.7261;257.213
7;0.634176;25.8606;258.846
8;0.635424;25.7425;260.75
9;0.634656;25.8705;261.891
10;0.632672;25.7432;261.25
11;0.630624;25.943;259.377
12;0.627584;25.7709;262.872
13;0.633536;25.8484;263.337
14;0.635616;25.6885;259.987
15;0.633088;25.9196;257.415
16;0.632864;25.911;261.945
17;0.631808;25.8468;260.155
18;0.625248;25.881;260.642
19;0.633728;25.6993;259.48
20;0.632544;25.9002;261.594
21;0.634752;25.7086;263.717
22;0.644288;25.7792;254.888
23;0.628096;25.7429;260.399
24;0.631392;25.8544;260.008
25;0.630624;25.9121;259.65
26;0.6312;25.6879;258.886
27;0.634976;25.8824;257.704
28;0.6288;25.7083;258.375
29;0.63296;25.7236;257.352
30;0.625984;25.8656;254.832
31;0.63312;25.8888;257.908
32;0.6528;25.7625;257.341
33;0.632192;25.7148;257.398
34;0.634432;25.8462;259.16
35;0.632;25.9224;258.892
36;0.632704;25.7128;256.925
37;0.62944;25.8625;258.18
38;0.63504;25.9385;259.345
39;0.635616;25.7109;257.203
40;0.633024;25.8587;258.222
41;0.625824;25.8759;259.681
42;0.62864;25.7028;260.803
43;0.63104;25.8724;260.937
44;0.630496;25.7294;260.837
45;0.634272;25.8819;259.586
46;0.634848;25.7086;261.491
47;0.633376;25.9208;263.843
48;0.627264;25.6745;261.569
49;0.626336;25.922;260.896
50;0.63216;25.6779;262.023
