init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.12176;18.817;25.5703
1;0.119424;18.817;25.7096
2;0.284672;18.8355;25.6133
3;0.118656;18.8344;26.1335
4;0.11936;18.8447;26.238
5;0.118656;18.8549;26.1458
6;0.118784;18.8631;26.0024
7;0.118624;18.8334;26.07
8;0.118656;18.8539;26.1591
9;0.118784;18.8262;26.2031
10;0.118432;18.8355;26.3311
11;0.118592;18.8324;26.6772
12;0.119552;18.8436;26.4028
13;0.1184;18.8508;26.5472
14;0.118784;18.8569;26.665
15;0.118272;18.8467;26.4847
16;0.118528;18.8631;26.7223
17;0.118784;18.8406;26.5492
18;0.118784;18.8355;26.5032
19;0.118784;18.8396;26.7633
20;0.119808;18.8334;26.5667
21;0.118784;18.8283;26.5073
22;0.118784;18.8211;25.6256
23;0.119808;18.8273;25.7987
24;0.11776;18.8211;25.8806
25;0.118496;18.858;25.8816
26;0.118656;18.8344;25.9492
27;0.118784;18.8396;25.9983
28;0.118784;18.8447;25.6113
29;0.118784;18.8631;25.899
30;0.117728;18.8518;25.7669
31;0.118368;18.8467;26.2994
32;0.119168;18.8559;26.2236
33;0.118784;18.8621;25.9881
34;0.119488;18.8355;25.8161
35;0.119296;18.7965;26.0895
36;0.11824;18.8211;26.1192
37;0.118784;18.8017;25.7987
38;0.11776;18.7965;26.1949
39;0.11776;18.7996;26.1888
40;0.119264;18.8078;26.2584
41;0.11952;18.817;26.1396
42;0.11856;18.815;26.3588
43;0.118784;18.8211;26.497
44;0.11824;18.8191;26.3434
45;0.119424;18.8211;26.3137
46;0.119264;18.8088;26.5595
47;0.118784;18.8078;25.7167
48;0.119328;18.8232;26.3649
49;0.118208;18.8416;26.4131
50;0.118336;18.8355;26.2451
