init;0.14

frame;preprocessing;pyramid gen.;detection
0;0.099328;24.7992;11.5231
1;0.096192;24.7214;11.8415
2;0.096256;24.7951;11.9255
3;0.095232;24.7439;12.0648
4;0.096256;24.747;12.159
5;0.095232;24.7634;11.9808
6;0.262144;24.7818;11.904
7;0.095232;24.7337;11.9286
8;0.096864;24.7685;12.034
9;0.096256;24.7286;12.033
10;0.095232;24.8115;12.0279
11;0.09728;24.749;11.9706
12;0.096192;24.7982;12.3013
13;0.096256;24.7439;12.2286
14;0.096256;24.7839;12.1405
15;0.096256;24.7439;12.1569
16;0.09664;24.7859;12.0381
17;0.096256;24.7491;12.0494
18;0.096896;24.7654;11.9286
19;0.095168;24.7542;12.1436
20;0.09728;24.789;12.2235
21;0.09568;24.7368;12.2952
22;0.095936;24.7849;11.607
23;0.097888;24.7665;11.5395
24;0.097024;24.7788;11.6511
25;0.096224;24.7163;11.7729
26;0.096096;24.7654;11.6204
27;0.096736;24.7685;11.7309
28;0.096064;24.7255;11.5712
29;0.095232;24.83;11.6367
30;0.096256;24.7409;11.7422
31;0.09728;24.7982;11.5681
32;0.095872;24.7532;11.7053
33;0.095744;24.8136;11.5282
34;0.095808;24.7327;11.6675
35;0.09728;24.8003;11.7043
36;0.096096;24.7654;11.7504
37;0.095904;24.7849;11.8958
38;0.09712;24.7367;11.9849
39;0.096256;24.8023;11.9122
40;0.097728;24.7265;11.7432
41;0.096128;24.7583;11.6142
42;0.098112;24.7429;11.9788
43;0.096256;24.7562;11.8426
44;0.09616;24.7685;11.7883
45;0.262144;24.7747;11.7729
46;0.110592;24.7368;11.8272
47;0.096256;24.7316;11.6101
48;0.096;24.8074;11.988
49;0.096864;24.7337;11.9214
50;0.096704;24.8115;11.8231
