init;0.046

frame;preprocessing;pyramid gen.;detection
0;0.346496;26.8233;90.4568
1;0.344416;26.8306;95.8272
2;0.34384;26.8509;97.5396
3;0.344768;26.8557;97.6339
4;0.345792;26.8264;97.616
5;0.345248;26.83;97.2533
6;0.344544;26.8497;97.6784
7;0.345152;26.8261;97.8024
8;0.344128;26.8516;98.0745
9;0.344288;26.8494;99.0643
10;0.346944;26.8419;98.1757
11;0.343648;26.854;98.2291
12;0.343232;26.8444;98.3012
13;0.345536;26.838;98.7226
14;0.342752;26.8514;98.7512
15;0.343872;26.841;99.2372
16;0.343968;26.8353;98.2824
17;0.344672;26.8508;99.7354
18;0.343808;26.8458;98.591
19;0.344064;26.8269;99.683
20;0.34464;26.8306;100.443
21;0.343712;26.8604;99.7551
22;0.342816;26.8369;94.128
23;0.344032;26.8299;94.4309
24;0.34416;26.8414;93.2154
25;0.347424;26.8397;93.7443
26;0.344192;26.8643;92.7715
27;0.344192;26.8216;93.4554
28;0.344736;26.8244;93.1687
29;0.345376;26.8443;92.8363
30;0.344576;26.841;93.5206
31;0.345472;26.8396;93.286
32;0.343968;26.8351;93.8372
33;0.343936;26.8264;93.8251
34;0.344672;26.8321;93.4006
35;0.347584;26.8719;93.2946
36;0.344032;26.8513;94.4341
37;0.344896;26.86;94.9108
38;0.344704;26.8042;93.3697
39;0.34784;26.8378;93.4467
40;0.347296;26.8512;93.0245
41;0.3464;26.8244;93.8307
42;0.344512;26.8194;93.5871
43;0.348;26.835;94.6868
44;0.347552;26.8456;95.0597
45;0.343552;26.8202;94.5824
46;0.343648;26.8302;94.0679
47;0.347552;26.8673;94.6652
48;0.34704;26.8616;95.9413
49;0.343744;26.8343;94.0162
50;0.34544;26.8328;94.7998
