init;0.046

frame;preprocessing;pyramid gen.;detection
0;0.041504;3.46963;7.11258
1;0.041472;3.45184;7.51802
2;0.042304;3.44205;7.15482
3;0.042432;3.44272;7.31718
4;0.04304;3.44739;6.43872
5;0.04288;3.43968;7.04442
6;0.041888;3.4432;7.38058
7;0.042912;3.44589;6.7921
8;0.042912;3.44205;7.26688
9;0.041888;3.44784;6.74147
10;0.04304;3.44621;6.77917
11;0.042016;3.44656;7.19936
12;0.042272;3.44349;7.03238
13;0.042944;3.44234;7.35773
14;0.042688;3.4431;7.57798
15;0.042432;3.44224;7.43706
16;0.042688;3.44582;7.1255
17;0.042688;3.44483;7.39661
18;0.042176;3.44294;7.38198
19;0.042944;3.44506;7.04106
20;0.042848;3.43664;7.3097
21;0.042272;3.44896;7.23277
22;0.042752;3.44118;7.27872
23;0.042016;3.4495;7.34566
24;0.043264;3.44419;5.44845
25;0.042592;3.43872;6.25616
26;0.042304;3.44294;6.22016
27;0.042752;3.45046;7.47418
28;0.04016;3.47818;6.60589
29;0.042432;3.44179;6.9392
30;0.042432;3.4392;6.8904
31;0.0424;3.44349;7.43046
32;0.0424;3.44342;6.884
33;0.043392;3.44352;7.22346
34;0.04288;3.44522;7.20883
35;0.042496;3.44618;6.77936
36;0.042016;3.4385;7.1679
37;0.043008;3.44368;6.90733
38;0.04272;3.44586;6.92502
39;0.043264;3.43683;7.31168
40;0.041984;3.44518;7.32374
41;0.042464;3.44269;7.37885
42;0.04208;3.44054;7.71501
43;0.04304;3.44522;7.28669
44;0.042944;3.44746;7.44397
45;0.042016;3.44877;7.28806
46;0.042976;3.43754;6.80093
47;0.04208;3.44186;7.35027
48;0.042336;3.44755;7.01155
49;0.042432;3.43971;7.37293
50;0.042624;3.44445;6.92989
