Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Control-Flow Instructions,Bit-Convert Instructions,Misc Instructions,Load/Store Instructions,FP Instructions(Single),Integer Instructions,FP Instructions(Double),Atomic Throughput(bytes/sec),Eligible Warps Per Active Cycle,L2 Throughput (Atomic requests)(bytes/sec),Non-Coherent Global Load Efficiency(%),Non-Coherent Global Memory Load Throughput(bytes/sec),Instructions Executed,Instructions Issued,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Non-Coherent Global Hit Rate(%),Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,Shared Memory Efficiency(%),Local Memory Cache Replay Overhead,Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),Issued IPC,Requested Non-Coherent Global Load Throughput(bytes/sec),L2 Hit Rate (Texture Reads)(%),L2 Hit Rate (L1 Reads)(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Shared Memory Load Transactions Per Request,Shared Memory Store Transactions Per Request,Global Load Transactions Per Request,Global Store Transactions Per Request,Instructions per warp,Issue Slot Utilization(%),Local Memory Load Transactions Per Request,Local Memory Store Transactions Per Request,Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,Executed Control-Flow Instructions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),Floating Point Operations(Double Precision),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),L2 Write Transactions (L1 write requests),Floating Point Operation(Single Precision Mul),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Floating Point Operations(Single Precision),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Executed Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precison FMA),Atomic Transactions Per Request,Atomic Transactions,Atomic Replay Overhead,Inter-Thread Instructions,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),FLOP Efficiency(Peak Single)(%),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),FLOP Efficiency(Peak Double)(%),Issue Stall Reasons (Not Selected)(%),L1 Local Hit Rate(%),Multiprocessor Activity(%),L1 Global Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Executed IPC,Achieved Occupancy,Instruction Replay Overhead,Shared Memory Replay Overhead,Texture Cache Hit Rate(%),Texture Cache Throughput(bytes/sec),Global Memory Replay Overhead,Global Memory Cache Replay Overhead
"Memcpy HtoD [sync]",160971536,3648,,,,,,,,,,24576,6736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",164618039,170560,,,,,,,,,,2097152,12295684803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",168161918,902882,,,,,,,,,,6220800,6889936890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wbd::gpu::preprocess(float*, unsigned char*, unsigned int, unsigned int)",169460224,118080,121,68,1,16,16,1,10,0,0,,,10463904,6220800,18889376,8294400,27019936,33498080,0,0,7,423,0,0,0,3413142,4432444,Low (1),Idle,0,0,3873489,0,Mid (4),Idle,3,699,Low (1),Mid (5),Mid (5),Mid (4),Low (1),0,0,100,25,74020043370,55528025915,222058416698,74019472232,99,918,0,2,726,0,0,75,0,222058416698,0,0,2,5,2,51,853,59,557,0,0,486000,129600,0,1,0,0,0,0,0,0,0,259207,777791,259202,194447,0,476207,483719,95,574,285568,0,74021471215,222112960368,0,0,74019472232,0,0,259200,2073600,0,20736000,43545600,777600,0,798931,259200,0,0,34,563,19,667,2073600,10,833,0,0,0,0,0,0,0,7,688,0,6,726,0,348,12,949,0,10,253,0,96,444,0,55514604174,74019472232,2,101,0,851,0,299,0,0,0,0,104,0
"wbd::gpu::pyramid::createFirstPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",169585633,1835619,121,407,1,16,16,1,17,0,0,,,376918542,274104156,326671660,47220986,968731968,988424410,0,0,6,956,0,0,0,96086130,97654711,Low (2),Low (1),0,0,81370604,0,Low (2),Low (1),1,261,Low (1),Low (1),Mid (6),Mid (4),Low (1),0,0,100,0,62893741987,41849855053,0,62893741987,99,785,0,3,685,0,41,386,0,71393355379,0,0,0,0,2,243,888,76,763,0,0,0,1560720,0,5,0,0,0,0,0,0,0,3121533,3544608,3121440,2077024,2443126,14757789,15087262,97,798,100744,0,62895615840,71420133335,0,0,62893741987,0,0,3121440,32013172,3543279,790952096,1613917364,0,0,2256180,1086959,0,0,48,863,8,353,120719092,31,799,0,0,0,0,0,0,0,2,128,0,15,82,0,044,0,653,0,6,898,0,99,751,0,0,62893741987,3,627,0,947,0,016,0,54,557,49226426356,0,008,0
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",171423524,271328,61,204,1,16,16,1,8,0,0,,,3250368,6241920,15928320,12484800,6241920,31468416,0,0,0,87,0,0,0,2460912,2852414,Low (1),Low (1),0,0,2657294,0,Mid (4),Low (1),1,703,Low (1),Low (2),Low (2),High (9),Low (1),0,0,100,0,93548117813,187069139031,0,93547997916,100,0,0,632,0,19,732,0,233054579107,0,0,0,0,1,999,24,72,14,722,0,0,0,390120,0,5,0,0,0,0,0,0,0,780247,1943917,780241,1560256,780236,296664,296664,96,021,599482,0,93548837191,233068726887,0,0,93547997916,0,0,780240,0,1943799,0,6241920,0,6241920,582233,292680,0,231,0,7,807,86,177,0,1,887,0,0,0,0,0,0,0,0,481,0,0,355,0,109,1,075,0,0,53,0,98,661,0,0,93547997916,0,546,0,853,0,159,0,37,579,93547518331,0,079,0
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",171696836,68161,31,102,1,16,16,1,8,0,0,,,839424,1559040,4047360,3118080,1559040,7915008,0,0,0,937,0,0,0,619296,718935,Low (1),Low (1),0,0,670215,0,Mid (4),Low (1),1,715,Low (1),Low (2),Low (2),High (9),Low (1),0,0,100,0,90660308783,181272235629,0,90660308783,100,0,0,633,0,19,463,0,225070450382,0,0,0,0,2,24,482,14,758,0,0,0,97440,0,5,0,0,0,0,0,0,0,194886,483921,194880,389656,194880,74952,74952,96,067,2326054,0,90663100049,225125345273,0,0,90660308783,0,0,194880,0,483803,0,1559040,0,1559040,145490,73080,0,319,0,7,911,84,915,0,2,274,0,0,0,0,0,0,0,0,61,0,0,339,0,522,1,075,0,0,659,0,94,885,0,0,90660308783,0,544,0,846,0,161,0,37,657,90660308783,0,079,0
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",171766949,18080,16,51,1,16,16,1,8,0,0,,,223392,388800,1044480,777600,388800,2001984,0,0,1,16,0,0,0,156858,183505,Low (1),Low (1),0,0,171355,0,Mid (4),Low (1),1,666,Low (1),Low (2),Low (2),High (8),Low (1),0,0,100,0,81457288011,162820719635,0,81453935997,100,0,0,645,0,18,919,0,200795684282,0,0,0,0,2,24,028,15,047,0,0,0,24300,0,4,0,0,0,0,0,0,0,48611,119926,48602,97148,48592,19131,19131,96,127,6704027,0,81472372073,200996805111,0,0,81453935997,0,0,48600,0,119806,0,388800,0,388800,36289,18225,0,678,0,8,041,81,38,0,3,346,0,0,0,0,0,0,0,1,026,0,0,297,1,759,1,056,0,1,047,0,83,451,0,0,81453935997,0,542,0,834,0,17,0,37,789,81440527942,0,077,0
"memset (0)",171786725,3008,,,,,,,,,,4,1329787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"memset (0)",171791045,2592,,,,,,,,,,4,1543209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
