Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Floating Point Operations(Single Precision),Global Load Throughput(bytes/sec),Floating Point Operations(Double Precision Mul),Global Store Throughput(bytes/sec),Floating Point Operations(Single Precision FMA),Floating Point Operations(Single Precision Add),Floating Point Operations(Single Precision Special),Floating Point Operation(Single Precision Mul),Instructions Issued,Device Memory Read Throughput(bytes/sec),Instructions Executed,Device Memory Write Throughput(bytes/sec),Device Memory Utilization,Shared Store Transactions,Local Memory Load Throughput(bytes/sec),Global Store Transactions Per Request,Local Memory Store Throughput(bytes/sec),Local Load Transactions,Shared Memory Load Throughput(bytes/sec),Shared Load Transactions,Shared Memory Store Throughput(bytes/sec),Global Load Transactions,Global Memory Load Efficiency(%),Local Store Transactions,Global Memory Store Efficiency(%),Texture Cache Transactions,Global Store Transactions,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,Load/Store Function Unit Utilization,Device Memory Read Transactions,Double-Precision Function Unit Utilization,Special Function Unit Utilization,Global Hit Rate(%),Single-Precision Function Unit Utilization,Device Memory Write Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Double Precision Add),Requested Global Load Throughput(bytes/sec),Local Hit Rate(%),Floating Point Operations(Double Precison FMA),Achieved Occupancy,Atomic Transactions,Executed IPC,Executed Load/Store Instructions,Issued Load/Store Instructions,Multiprocessor Activity(%),Executed Control-Flow Instructions,Branch Efficiency(%),Warp Execution Efficiency(%),Issued IPC,Instructions per warp,Atomic Transactions Per Request,Issue Slot Utilization(%),Shared Memory Load Transactions Per Request,Warp Non-Predicated Execution Efficiency(%),Instruction Replay Overhead,Local Memory Store Transactions Per Request,Global Load Transactions Per Request,Shared Memory Store Transactions Per Request,Local Memory Load Transactions Per Request,FP Instructions(Single),FP Instructions(Double),Shared Memory Efficiency(%),Shared Memory Utilization,Control-Flow Instructions,Load/Store Instructions,Integer Instructions,Bit-Convert Instructions,Issue Slots,Issued Control-Flow Instructions,Misc Instructions,Inter-Thread Instructions,L2 Hit Rate (Texture Reads)(%),FLOP Efficiency(Peak Double)(%),L2 Hit Rate (Texture Writes)(%),Local Memory Overhead(%),L2 Transactions (Texture Reads),L2 Transactions (Texture Writes),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (Texture Writes)(bytes/sec),System Memory Read Throughput(bytes/sec),System Memory Write Throughput(bytes/sec),L2 Throughput (Reads)(bytes/sec),L2 Throughput (Writes)(bytes/sec),Eligible Warps Per Active Cycle,L2 Transactions (Atomic requests),System Memory Utilization,L2 Cache Utilization,L2 Throughput (Atomic requests)(bytes/sec),FLOP Efficiency(Peak Single)(%),Issue Stall Reasons (Data Request)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Instructions Fetch)(%),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Other)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Texture)(%),System Memory Read Transactions,Issue Stall Reasons (Not Selected)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Pipe Busy)(%),ECC Transactions,L2 Write Transactions,L2 Read Transactions,System Memory Write Transactions,ECC Throughput(bytes/sec),Texture Cache Throughput(bytes/sec),Texture Cache Utilization,Texture Cache Hit Rate(%)
"Memcpy HtoD [sync]",101161799,3296,,,,,,,,,,24576,7456310679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103326807,170047,,,,,,,,,,2097152,12332778584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",107887990,1228696,,,,,,,,,,6220800,5062928503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wbd::gpu::preprocess(float*, unsigned char*, unsigned int, unsigned int)",109121358,127679,241,136,1,8,8,1,12,0,0,,,65313321889,31919824,489849914169,0,130626643778,14923112,0,1539416,2073600,3622218,48995070633,3621266,65794352489,Mid (6),0,0,8,0,0,0,0,0,1944000,10,0,50,777600,518400,Low (1),Low (3),Low (1),194440,Idle,Low (2),40,Low (3),261109,0,0,48984991416,0,0,0,847,0,1,506,521408,1299008,97,661,524232,99,959,99,891,1,522,55,243,0,37,182,0,94,929,0,0,10,0,0,22746464,0,0,Idle,10989384,8294400,36167304,7760216,3540637,524232,24046416,0,83,333,0,87,5,0,1166400,518400,293909948501,130626643778,0,1259902,294048789706,130628155660,1,844,0,Low (1),High (7),0,5,067,63,706,17,955,5,362,0,268,2,57,0,0,02,0,0,682,9,375,0,063,0,518406,1166951,5,0,195939965667,Low (2),31,579
"wbd::gpu::pyramid::createFirstPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",109254701,1816275,241,813,1,8,8,1,19,0,0,,,56613079840,1422155912,0,0,113226159681,695071370,0,120700070,32013172,87752357,37674402787,87750832,56638290058,Mid (5),0,0,7,999,0,0,0,0,0,0,0,0,50,2443138,6242880,Low (2),Low (1),Low (1),2077230,Idle,Mid (5),0,Mid (4),3122830,0,0,0,0,0,0,817,0,2,602,2653692,7132522,99,8,17500919,99,968,99,827,2,603,223,931,0,59,587,0,94,243,0,0,0,0,0,968579792,0,0,Idle,401841564,34735226,513789808,369832706,80353098,17500919,332620374,0,46,46,0,87,47,0,3882035,6242880,70407875018,113226159681,0,90684,71153752853,113226268502,3,506,0,Low (1),Mid (4),0,16,442,13,789,20,263,16,179,0,02,46,208,0,0,0,2,259,1,083,0,199,0,6242886,3923160,5,0,44310820216,Low (1),27,884
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",111073312,453148,121,407,1,8,8,1,10,0,0,,,54512204707,6241920,0,0,109024409414,0,6241920,0,0,3626076,109081000829,3624664,54480415702,High (8),0,0,7,998,0,0,0,0,0,0,0,0,50,780240,1560480,Low (1),Low (1),Low (1),1561290,Idle,Low (1),0,Low (1),779785,0,0,0,0,0,0,851,0,0,408,686656,1954696,99,268,196054,100,99,983,0,416,36,801,0,10,399,0,97,292,0,0,0,0,0,6241920,0,0,Idle,3151808,9362880,56424064,6241920,3626076,196054,31425536,0,33,148,0,87,5,0,2333859,1560480,163057263874,109024409414,0,349329,163073402908,109024828610,0,441,0,Low (1),Mid (5),0,0,276,49,984,24,407,0,437,0,057,13,615,0,0,001,0,0,046,11,447,0,005,0,1560486,2334090,5,0,54512204707,Low (1),16,689
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",111528508,114175,61,204,1,8,8,1,10,0,0,,,53591832525,1559040,0,0,107183665051,0,1559040,0,0,910468,107163040115,909768,54364580110,High (8),0,0,8,0,0,0,0,0,0,0,0,50,194880,389760,Low (1),Low (1),Low (1),389685,Idle,Low (1),0,Low (1),197690,0,0,0,0,0,0,841,0,0,415,172632,489312,97,321,49248,100,100,0,417,36,554,0,10,422,0,97,322,0,001,0,0,0,0,1559040,0,0,Idle,796416,2338560,14166528,1559040,910468,49248,7913472,0,32,96,0,87,5,0,581213,389760,159833075521,107183665051,0,1374995,159896600323,107185315045,0,448,0,Low (1),Mid (5),0,0,271,50,116,22,949,0,51,0,116,14,7,0,0,002,0,0,058,11,543,0,006,0,389766,581444,5,0,53591832525,Low (1),16,711
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",111644731,30080,31,102,1,8,8,1,10,0,0,,,49146757679,388800,0,0,98172165339,0,388800,0,0,229771,98274301605,229074,51728479332,High (7),0,0,7,97,0,0,0,0,0,0,0,0,50,062,48600,97080,Low (1),Low (1),Low (1),97181,Idle,Low (1),0,Low (1),51153,0,0,0,0,0,0,803,0,0,41,43566,122496,89,177,12414,100,99,862,0,412,36,223,0,10,292,0,97,211,0,006,0,0,0,0,388800,0,0,Idle,202368,583200,3562944,388800,229771,12414,1999776,0,32,584,0,87,067,0,144091,97080,145712046517,98172165339,0,5056250,145945645304,98178232840,0,463,0,Low (1),Mid (4),0,0,222,53,22,20,929,0,77,0,472,13,106,0,0,0,0,1,11,393,0,01,0,97086,144322,5,0,49146757679,Low (1),16,798
"memset (0)",111676731,2880,,,,,,,,,,4,1388888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wbd::gpu::detection::atomicshared::detect(__int64, __int64, unsigned int, unsigned int, wbd::Detection*, unsigned int*)",111681787,10435093,361,813,1,8,8,1,24,16,768,,,1052254,423428400,0,0,6130056,67986732,287454936,0,0,297767423,8367194406,297764738,87735665,Low (1),4093578,0,2,736,0,0,49298841228,3996949,50490674732,0,0,0,17,165,109685652,1988,Low (1),Low (3),Low (1),2713512,Idle,Low (2),0,Low (3),28453,0,0,0,0,0,0,464,546,1,539,66800816,138954108,97,444,35843837,97,68,31,672,1,543,507,283,3,792,37,44,2,687,30,953,0,0,0,2,178,0,670045368,0,14,121,Low (1),97946094,545993313,841210098,186315356,289031881,35843837,586885424,0,92,936,0,90,536,0,45846846,1976,141370103909,6093054,0,15417,141814033489,8846646,2,792,1092,Low (1),Low (3),1683607,0,823,42,594,22,912,4,565,0,003,17,921,5,711,0,0,4,65,0,004,1,642,0,2869,45990814,5,0,338218947942,Low (3),85,801
