Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Hit Rate(%),Local Hit Rate(%),Shared Memory Utilization,L2 Hit Rate (Texture Reads)(%),L2 Hit Rate (Texture Writes)(%),L2 Transactions (Texture Reads),L2 Transactions (Texture Writes),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (Texture Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Transactions (Atomic requests),L2 Cache Utilization,L2 Throughput (Atomic requests)(bytes/sec),Texture Cache Throughput(bytes/sec),Texture Cache Utilization,Texture Cache Hit Rate(%),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Device Memory Write Throughput(bytes/sec),Device Memory Utilization,Shared Store Transactions,Local Memory Load Throughput(bytes/sec),Global Store Transactions Per Request,Local Memory Store Throughput(bytes/sec),Local Load Transactions,Shared Memory Load Throughput(bytes/sec),Shared Load Transactions,Shared Memory Store Throughput(bytes/sec),Global Load Transactions,Global Memory Load Efficiency(%),Local Store Transactions,Global Memory Store Efficiency(%),Texture Cache Transactions,Global Store Transactions,Device Memory Read Transactions,Device Memory Write Transactions,Requested Global Load Throughput(bytes/sec),Atomic Transactions,Atomic Transactions Per Request,Shared Memory Load Transactions Per Request,Local Memory Store Transactions Per Request,Global Load Transactions Per Request,Shared Memory Store Transactions Per Request,Local Memory Load Transactions Per Request,Shared Memory Efficiency(%),Local Memory Overhead(%),System Memory Read Throughput(bytes/sec),System Memory Write Throughput(bytes/sec),System Memory Utilization,System Memory Read Transactions,ECC Transactions,L2 Write Transactions,L2 Read Transactions,System Memory Write Transactions,ECC Throughput(bytes/sec),Control-Flow Function Unit Utilization,Texture Function Unit Utilization,Load/Store Function Unit Utilization,Double-Precision Function Unit Utilization,Special Function Unit Utilization,Single-Precision Function Unit Utilization,Achieved Occupancy,Multiprocessor Activity(%),Eligible Warps Per Active Cycle
"Memcpy HtoD [sync]",107800020,3296,,,,,,,,,,24576,7456310679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",109912226,170463,,,,,,,,,,2097152,12302681520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",114447516,1321653,,,,,,,,,,6220800,4706833034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wbd::gpu::preprocess(float*, unsigned char*, unsigned int, unsigned int)",115773809,114719,61,34,1,32,32,1,12,0,0,,,62,5,0,Idle,66,667,0,583200,259200,177134884250,78726615222,176678448438,77606586826,0,Mid (5),0,235413434247,Low (2),59,375,78471144749,465628742514,77604790419,59267511825,77746555639,High (7),0,0,4,0,0,0,0,0,1555200,12,5,0,100,777600,259200,194448,257921,58203592814,0,0,0,0,8,0,0,0,0,0,1514004,Low (1),0,0,259206,583527,5,0,Low (1),Low (3),Low (1),Idle,Low (2),Low (3),0,787,96,967,2,916
"wbd::gpu::pyramid::createFirstPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",115894480,1851952,61,204,1,32,32,1,19,0,0,,,0,0,Idle,32,67,0,3085266,3121440,55316486851,56105121611,59384597281,56130167958,0,Low (2),0,43807559313,Low (1),55,788,55976525811,0,55976525811,37248480745,55912577027,Mid (5),0,0,4,0,0,0,0,0,0,0,0,100,2443138,3121440,2077101,3117874,0,0,0,0,0,0,0,0,0,0,0,89664,Low (1),0,0,3121446,3311866,5,0,Low (2),Low (1),Low (1),Idle,Mid (5),Mid (4),0,854,99,762,3,568
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",117748736,451932,31,102,1,32,32,1,10,0,0,,,0,0,Idle,10,779,0,001,1748769,780240,123317749100,55366479433,124100534427,55020520414,0,Low (3),0,55366479433,Low (1),45,899,55366847765,0,55366479433,110744383561,55258264165,High (8),0,0,4,0,0,0,0,0,0,0,0,100,780240,780240,1560285,778383,0,0,0,0,0,0,0,0,0,0,0,354804,Low (1),0,0,785635,1748848,5,0,Low (1),Low (1),Low (1),Idle,Low (1),Low (1),0,746,99,211,0,834
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",118202684,111743,16,51,1,32,32,1,10,0,0,,,0,0,Idle,10,435,0,435010,194880,123187582410,55168704329,123079946625,55222186802,0,Mid (4),0,55168704329,Low (1),45,964,55152115466,0,55152115466,110305985597,54942974388,High (8),0,0,4,0,0,0,0,0,0,0,0,100,194880,194880,389649,194141,0,0,0,0,0,0,0,0,0,0,0,1415453,Low (1),0,0,194886,435253,5,0,Low (1),Low (1),Low (1),Idle,Low (1),Low (1),0,736,96,817,0,856
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",118316443,28992,8,26,1,32,32,1,10,0,0,,,0,0,Idle,10,419,13,333,108473,48600,116068903234,52275630252,116994151260,52282084033,0,Low (3),0,52018597183,Low (1),45,832,51852098823,0,52018597183,104569487877,53453925142,High (7),0,0,3,75,0,0,0,0,0,0,0,0,100,48600,48600,97181,49941,0,0,0,0,0,0,0,0,0,0,0,5380140,Low (1),0,0,48606,108964,5,0,Low (1),Low (1),Low (1),Idle,Low (1),Low (1),0,743,89,591,0,899
"memset (0)",118347451,2912,,,,,,,,,,4,1373626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wbd::gpu::detection::atomicshared::detect(__int64, __int64, unsigned int, unsigned int, wbd::Detection*, unsigned int*)",118352507,21619816,91,204,1,32,32,1,24,16,12288,,,0,0,Low (1),84,871,87,76,17484425,1646,27548277294,2576064,28374003816,3306001,928,Low (1),731513,158698755749,Low (2),94,698,457075,0,2561867,4762195106,49904792,Low (1),3577750,0,3,367,0,0,21209584429,3365348,22555900660,0,0,0,17,802,100689302,1624,3021461,31663,0,464,4,784,3,585,0,0,2,013,0,15,978,0,0,7887,Low (1),0,0,3552,17761198,5,0,Low (1),Low (2),Low (1),Idle,Low (1),Low (1),0,12,98,576,0,53
"Memcpy DtoH [sync]",139973859,1664,,,,,,,,,,4,2403846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy DtoH [sync]",140054018,2592,,,,,,,,,,10920,4212962962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
