Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Atomic Throughput(bytes/sec),Eligible Warps Per Active Cycle,L2 Throughput (Atomic requests)(bytes/sec),Non-Coherent Global Load Efficiency(%),Non-Coherent Global Memory Load Throughput(bytes/sec),Control-Flow Function Unit Utilization,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Non-Coherent Global Hit Rate(%),L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Local Memory Overhead(%),Requested Non-Coherent Global Load Throughput(bytes/sec),L2 Hit Rate (Texture Reads)(%),L2 Hit Rate (L1 Reads)(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Shared Memory Load Transactions Per Request,Shared Memory Store Transactions Per Request,Global Load Transactions Per Request,Global Store Transactions Per Request,Local Memory Load Transactions Per Request,Local Memory Store Transactions Per Request,Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),L2 Transactions (Atomic requests),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),L2 Read Transactions (L1 read requests),Atomic Transactions Per Request,Atomic Transactions,ECC Transactions,ECC Throughput(bytes/sec),L1 Local Hit Rate(%),Multiprocessor Activity(%),L1 Global Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Achieved Occupancy,Texture Cache Hit Rate(%),Texture Cache Throughput(bytes/sec)
"Memcpy HtoD [sync]",133475775,3648,,,,,,,,,,24576,6736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",135786250,171488,,,,,,,,,,2097152,12229147228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",139290234,856356,,,,,,,,,,6220800,7264268598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wbd::gpu::preprocess(float*, unsigned char*, unsigned int, unsigned int)",140405151,128576,61,34,1,32,32,1,10,0,0,,,0,7,258,0,0,0,Low (1),Idle,0,0,0,Mid (4),Idle,Low (1),Low (3),Mid (5),Mid (4),Low (1),0,100,33,333,71116263118,53347691885,160010974689,71115988750,0,0,0,66,667,0,160010974689,0,0,1,5,1,0,0,291600,64800,0,9,0,0,0,0,0,0,0,259209,583333,259201,194439,0,2469305,0,71118458056,160047465532,0,71115988750,0,259200,0,583200,0,0,0,0,0,96,524,0,53336991563,71115988750,0,828,0,0
"wbd::gpu::pyramid::createFirstPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",140541023,1991786,61,204,1,32,32,1,17,0,0,,,0,7,167,0,0,0,Low (2),Low (1),0,0,0,Low (2),Low (1),Low (1),Low (1),Mid (5),Low (3),Idle,0,100,0,52451799336,34901648391,0,52451782532,0,0,43,661,0,61951879416,0,0,0,0,1,0,0,0,780360,0,0,0,0,0,0,0,0,0,3121446,3686888,3121441,2077020,2443124,0,0,52451883354,61953408554,0,52451782532,0,3121440,3686797,0,0,0,0,0,0,99,686,0,0,52451782532,0,933,52,722,41053555009
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",142535241,283713,31,102,1,32,32,1,8,0,0,,,0,1,674,0,0,0,Low (1),Low (1),0,0,0,Mid (4),Low (1),Low (1),Low (1),Low (2),High (8),Idle,0,100,0,87848592428,175671739153,0,87848479837,0,0,10,781,0,196896721824,0,0,0,0,1,0,0,0,195060,0,0,0,0,0,0,0,0,0,780246,1748869,780241,1560256,780248,0,0,87849155386,196907980986,0,87848479837,0,780240,1748769,0,0,0,0,0,0,98,664,0,0,87848479837,0,696,43,841,87849380570
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",142820906,71680,16,51,1,32,32,1,8,0,0,,,0,1,765,0,0,0,Low (1),Low (1),0,0,0,Mid (4),Low (1),Low (1),Low (1),Low (2),High (8),Low (1),0,100,0,85417926802,170785886478,0,85417488494,0,0,10,448,0,190706991014,0,0,0,0,1,0,0,0,48720,0,10,0,0,0,0,0,0,0,194888,435214,194881,389648,194880,4383081,0,85420994959,190757834757,0,85417488494,0,194880,435098,0,0,0,0,0,0,94,641,0,0,85417488494,0,702,43,936,85417488494
"wbd::gpu::pyramid::createPyramidFromPyramid(float*, float*, __int64, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",142894538,19456,8,26,1,32,32,1,8,0,0,,,0,1,939,0,0,0,Low (1),Low (1),0,0,0,Low (3),Low (1),Low (1),Low (1),Low (2),High (7),Low (1),0,100,0,74331214452,148579840367,0,74329685035,0,0,10,448,0,165900492281,0,0,0,0,1,219,0,0,0,15795,0,10,0,0,0,0,0,0,0,48611,108614,48601,97148,48600,15294173,0,74346508626,166116140132,0,74329685035,0,48600,108473,0,0,0,0,0,0,83,011,0,0,74329685035,0,725,43,677,74329685035
"memset (0)",142915722,3008,,,,,,,,,,4,1329787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wbd::gpu::detection::atomicshared::detect(__int64, __int64, unsigned int, unsigned int, wbd::Detection*, unsigned int*)",142920618,33884189,91,204,1,32,32,1,27,16,12288,,,1993780,0,836,498445,0,0,Low (1),Low (1),0,0,0,Low (1),Low (1),Low (2),Low (2),Low (2),Low (1),Low (1),2,138,17,715,0,4884547,3447560416,0,1758523,82,166,0,92,83,57,424,39062805735,5121953,27,64,15,619,0,1,59,0,0,0,771,0,8,0,0,25263021,26434641,217107424029,2924068,0,5401,36393529,4547,3209316,97842340,8593,0,5801944,39095212190,227176188178,4738451,928,4411,36363362,4768,4,784,464,0,0,0,98,595,0,0,311528,0,232,89,267,105105691825
