init;0.058

frame;preprocessing;pyramid gen.;detection
0;1.62323;49.2419;741.869
1;1.84435;49.2266;744.705
2;1.61642;49.241;750.178
3;1.63776;49.0124;743.556
4;1.62688;49.1087;746.447
5;1.62096;49.1716;753.067
6;1.62486;49.2387;748.441
7;1.62826;49.0424;746.378
8;1.62403;49.1018;748.035
9;1.62211;49.2101;747.73
10;1.62726;49.2578;743.453
11;1.61936;49.2316;744.441
12;1.62598;49.256;752.721
13;1.62173;49.2312;752.112
14;1.62067;49.209;750.757
15;1.61638;49.1071;751.86
16;1.6232;49.2313;755.914
17;1.62166;49.2125;754.652
18;1.63296;49.0027;752.964
19;1.62534;49.2893;754.991
20;1.62518;49.2302;759.428
21;1.62381;49.2132;755.582
22;1.63453;48.9714;708.72
23;1.90979;49.1857;705.586
24;1.62275;49.3096;704.213
25;1.62202;49.1273;707.088
26;2.68816;49.2003;694.064
27;1.9185;49.4029;697.956
28;1.62954;49.2408;699.127
29;1.63523;49.2148;697.57
30;1.62086;49.1388;699.383
31;1.62083;49.2263;702.806
32;1.63878;49.035;694.932
33;1.62243;49.1565;701.51
34;1.62;49.2824;702.764
35;1.6151;49.0728;698.325
36;1.62109;49.1881;700.511
37;1.63248;49.2834;700.704
38;1.62384;49.1857;698.853
39;1.62144;49.2476;698.927
40;1.62371;49.2683;700.736
41;1.61875;49.223;711.029
42;1.61946;49.3427;705.843
43;1.63258;49.0731;708.764
44;1.6281;49.0271;713.013
45;1.62419;49.1028;718.722
46;1.6241;49.2662;710.584
47;1.62304;49.2438;712.6
48;1.62365;49.3149;713.079
49;1.62669;49.0945;712.231
50;1.6169;49.0998;712.844
