init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.033888;1.92566;10.2468
1;0.03152;1.90611;10.0625
2;0.031648;1.94134;10.7431
3;0.031616;1.9009;10.0417
4;0.031712;1.91578;10.1198
5;0.031584;1.91667;10.1917
6;0.031616;1.91606;10.072
7;0.031936;1.94573;10.3076
8;0.031616;1.9113;10.3007
9;0.031552;1.91114;10.0968
10;0.031552;1.91443;10.1438
11;0.031648;1.91776;10.19
12;0.031616;1.94352;10.2383
13;0.031552;1.91446;11.007
14;0.031552;1.91344;10.1602
15;0.031552;1.90448;10.7936
16;0.03152;1.91021;10.9577
17;0.031552;1.91027;11.0108
18;0.031808;1.90608;10.1752
19;0.03168;1.9232;10.8443
20;0.031808;1.91552;10.2583
21;0.031552;1.91635;11.6759
22;0.031648;1.90838;10.3539
23;0.031712;1.95731;10.1873
24;0.031712;1.91472;10.1372
25;0.031712;1.92842;10.1687
26;0.031648;1.91846;10.042
27;0.031552;1.9087;10.0812
28;0.031552;1.9441;10.0106
29;0.031616;1.91453;10.0043
30;0.031616;1.92173;9.99357
31;0.031744;1.9185;9.96099
32;0.031648;1.91549;10.1345
33;0.031616;1.90413;10.1101
34;0.031584;1.91712;10.097
35;0.031648;1.91395;10.1884
36;0.031552;1.91475;10.0944
37;0.031648;1.91501;10.0524
38;0.031552;1.908;10.1673
39;0.03168;1.92992;10.2172
40;0.031808;1.9073;10.1269
41;0.031648;1.91334;10.3766
42;0.031488;1.92042;11.7201
43;0.03168;1.93533;11.7226
44;0.031552;1.91306;11.7333
45;0.031584;1.91686;10.3065
46;0.031616;1.90531;10.3226
47;0.03152;1.91046;10.2361
48;0.031648;1.91069;10.2382
49;0.031776;1.90944;10.0895
50;0.031552;1.92122;10.3234
