init;0.078

frame;preprocessing;pyramid gen.;detection
0;0.05056;7.59523;11.5919
1;0.04816;7.53971;12.0256
2;0.04832;7.54778;12.1456
3;0.04848;7.58192;12.0014
4;0.048352;7.55792;12.222
5;0.048096;7.51395;11.287
6;0.048448;7.51142;12.1969
7;0.048448;7.51984;11.8447
8;0.048448;7.53926;11.3891
9;0.047968;7.55005;11.426
10;0.048512;7.55978;12.0878
11;0.048576;7.52675;11.9777
12;0.04832;7.57325;12.3873
13;0.048256;7.53571;12.2965
14;0.048288;7.5136;12.3486
15;0.048416;7.53418;12.2145
16;0.048384;7.57027;12.1622
17;0.04832;7.52531;12.2819
18;0.048416;7.54384;11.5488
19;0.048512;7.58806;12.3542
20;0.048704;7.55565;12.5177
21;0.048352;7.55242;12.5479
22;0.048224;7.5713;10.021
23;0.048224;7.55299;10.1493
24;0.048352;7.53667;11.5701
25;0.048192;7.52845;10.0523
26;0.048288;7.56531;10.026
27;0.048416;7.52627;9.89555
28;0.048192;7.55811;9.95379
29;0.048032;7.50669;10.0119
30;0.048096;7.54589;10.018
31;0.048224;7.53302;9.99379
32;0.04912;7.54013;10.0332
33;0.048224;7.52739;10.1446
34;0.048224;7.53197;10.0335
35;0.04816;7.52157;9.90842
36;0.048256;7.56717;10.0686
37;0.048352;7.59782;10.154
38;0.048096;7.49075;11.657
39;0.04816;7.52835;10.087
40;0.048192;7.5783;11.4796
41;0.04832;7.56547;10.1403
42;0.048448;7.53434;11.6511
43;0.048192;7.49405;10.126
44;0.04848;7.55142;10.961
45;0.04832;7.55302;10.2562
46;0.048256;7.54128;10.826
47;0.048512;7.49824;11.7296
48;0.048352;7.57165;10.9998
49;0.048352;7.54086;11.7114
50;0.048128;7.5224;10.3308
