init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.023072;2.88598;4.12067
1;0.020832;2.84154;4.73645
2;0.020896;2.88355;4.6641
3;0.021056;2.85226;3.84272
4;0.0208;2.88256;3.6391
5;0.0208;2.85664;4.9647
6;0.020896;2.87027;3.56941
7;0.020896;2.85872;4.75606
8;0.020896;2.87286;4.69686
9;0.020832;2.83824;4.64582
10;0.020928;2.87309;4.85453
11;0.020992;2.83142;4.80531
12;0.020992;2.86368;4.77181
13;0.02096;2.84886;4.75037
14;0.02096;2.88061;5.04534
15;0.021024;2.84605;4.07517
16;0.020896;2.85459;4.98669
17;0.020864;2.86006;4.91686
18;0.0208;2.83866;4.45053
19;0.020896;2.86026;4.92298
20;0.020928;2.85069;4.52698
21;0.02512;2.8615;4.96573
22;0.020864;2.86627;3.50733
23;0.021152;2.848;4.12502
24;0.020864;2.87152;3.73878
25;0.020864;2.85386;3.86723
26;0.020768;2.85651;3.76256
27;0.020928;2.8585;3.79562
28;0.0208;2.86515;4.59523
29;0.021152;2.85574;4.46483
30;0.02096;2.88858;3.60515
31;0.020864;2.85606;3.99485
32;0.020864;2.87037;4.08662
33;0.021056;2.85936;4.10979
34;0.02096;2.88355;3.98909
35;0.020896;2.84192;3.9672
36;0.0208;2.87526;4.79814
37;0.021024;2.86058;3.74429
38;0.020928;2.86755;4.31405
39;0.020896;2.82669;4.73453
40;0.02096;2.87898;4.00723
41;0.021056;2.85453;4.06042
42;0.020896;2.86717;5.33658
43;0.020832;2.85792;5.13318
44;0.021088;2.88701;5.06045
45;0.020896;2.85635;4.0313
46;0.020992;2.8624;5.22374
47;0.021088;2.86141;4.116
48;0.020896;2.86288;3.8176
49;0.020928;2.85923;4.06576
50;0.0208;2.85907;4.10374
