==5132== NVPROF is profiling process 5132, command: WaldboostDetector.exe -iv 1920x1080.mp4 -dm aglobal -lf 0
==5132== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5132== Profiling application: WaldboostDetector.exe -iv 1920x1080.mp4 -dm aglobal -lf 0
==5132== Profiling result:
==5132== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"achieved_occupancy","Achieved Occupancy",0.583224,0.583224,0.583224
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"gst_throughput","Global Store Throughput",7.011140MB/s,7.011140MB/s,7.011140MB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"gld_throughput","Global Load Throughput",2.866648GB/s,2.866648GB/s,2.866648GB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"atomic_throughput","Atomic Throughput",10.008973MB/s,10.008973MB/s,10.008973MB/s
