==3684== NVPROF is profiling process 3684, command: WaldboostDetector_30.exe -iv 1920x1080.mp4 -bs 16 -dm ashared -lf 0
==3684== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3684== Profiling application: WaldboostDetector_30.exe -iv 1920x1080.mp4 -bs 16 -dm ashared -lf 0
==3684== Profiling result:
==3684== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Quadro K1000M (0)","wbd::gpu::detection::atomicshared::detect(__int64, __int64, unsigned int, unsigned int, wbd::Detection*, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.477634,0.477634,0.477634
"Quadro K1000M (0)","wbd::gpu::detection::atomicshared::detect(__int64, __int64, unsigned int, unsigned int, wbd::Detection*, unsigned int*)",1,"shared_replay_overhead","Shared Memory Replay Overhead",0.000866,0.000866,0.000866
"Quadro K1000M (0)","wbd::gpu::detection::atomicshared::detect(__int64, __int64, unsigned int, unsigned int, wbd::Detection*, unsigned int*)",1,"shared_load_throughput","Shared Memory Load Throughput",11.883792GB/s,11.883792GB/s,11.883792GB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicshared::detect(__int64, __int64, unsigned int, unsigned int, wbd::Detection*, unsigned int*)",1,"shared_store_throughput","Shared Memory Store Throughput",13.008449GB/s,13.008449GB/s,13.008449GB/s
