==6536== NVPROF is profiling process 6536, command: WaldboostDetector.exe -iv 1920x1080.mp4 -dm aglobal -lf 0
==6536== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6536== Profiling application: WaldboostDetector.exe -iv 1920x1080.mp4 -dm aglobal -lf 0
==6536== Profiling result:
==6536== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"achieved_occupancy","Achieved Occupancy",0.906455,0.906455,0.906455
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"gst_throughput","Global Store Throughput",1.903847MB/s,1.903847MB/s,1.903847MB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"gld_throughput","Global Load Throughput",457.497997MB/s,457.497997MB/s,457.497997MB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"atomic_throughput","Atomic Throughput",3.226310MB/s,3.226310MB/s,3.226310MB/s
